cut1,cut2,acc_cost,privacy_cost,comp_cost_client,static_cost
0,0,0.08274999999999999,0.0,1.0,0.27068749999999997
0,1,0.07874999999999999,0.25721008221424835,0.667374766662941,0.25083371221929734
0,2,0.07550000000000001,0.3810274677495204,0.4300573555415503,0.22164620582276767
0,3,0.08350000000000002,0.563308424647336,0.19745097266633674,0.21106484932841818
0,4,0.07799999999999996,0.5808729191318546,0.006909318288391773,0.16644555935506158
0,5,0.07725000000000004,0.6162252108727575,0.0,0.17336880271818939
1,1,0.08174999999999999,0.0,0.9373165062217507,0.2547666265554377
1,2,0.07650000000000001,0.3651925541308155,0.63161235699623,0.2683262277817614
1,3,0.08374999999999999,0.5490495549832567,0.3937609761948911,0.25664013279453696
1,4,0.07350000000000001,0.5630065665362287,0.17336343350731534,0.202467500010886
1,5,0.08174999999999999,0.5850700566783972,0.15883768003032925,0.2064144341771816
2,2,0.08225000000000005,0.0,0.9001311470161889,0.24559528675404724
2,3,0.07925000000000004,0.5747924308009331,0.6376086635629377,0.3229127735909677
2,4,0.08525000000000005,0.5466364951764845,0.39918405183971306,0.2577676367540494
2,5,0.08350000000000002,0.5857538092007415,0.30026051338732324,0.24237858064701617
3,3,0.07725000000000004,0.0,0.6457198410786249,0.18074246026965624
3,4,0.08274999999999999,0.5648124118609932,0.46098867602862953,0.2771377719724057
3,5,0.08099999999999996,0.5785995513806672,0.42981083847380125,0.2723525974636171
4,4,0.08225000000000005,0.0,0.632694255374864,0.17873606384371601
4,5,0.07725000000000004,0.5600539445924533,0.6176331151723348,0.31373426494119705
5,5,0.08299999999999996,0.0,0.8857621012205187,0.24219052530512966
