cut1,cut2,acc_cost,privacy_cost,comp_cost_client,static_cost
0,0,0.011111111111111072,0.0,0.7956948575366115,0.20170149216193065
0,1,0.014814814814814836,0.4569969628328963,0.6519440598208188,0.2809389593671325
0,2,0.015277777777777724,0.44689891257028835,0.5066080799678874,0.24219619257898836
0,3,0.017129629629629606,0.45304187134059226,0.17477753007224806,0.16123725776061748
0,4,0.014814814814814836,0.48291166349712944,0.0024663311325353984,0.1250482023611199
0,5,0.010648148148148184,0.45349662848257943,0.0,0.1160361941576819
1,1,0.015277777777777724,0.0,0.957717320986226,0.24324877469100092
1,2,0.014351851851851838,0.45822917508898664,0.7342047452672312,0.3016964430520174
1,3,0.013425925925925952,0.47785260274057406,0.3316215032895689,0.20572500798901722
1,4,0.012962962962962954,0.48368020158060737,0.12785219323251762,0.15612383944402197
1,5,0.012037037037037068,0.49679992193406,0.092526224022563,0.15034079574841502
2,2,0.011111111111111072,0.0,0.964252446770041,0.243840889470288
2,3,0.012962962962962954,0.4759537717625848,0.5348491214993452,0.2559414640562232
2,4,0.017129629629629606,0.48117924488904107,0.2924249253368943,0.19768344996389126
2,5,0.01388888888888884,0.4775999367463464,0.26549413447484405,0.18924574002751982
3,3,0.012962962962962954,0.0,1.0,0.25324074074074077
3,4,0.01388888888888884,0.4826170067414802,0.6998748233957691,0.29909517975653455
3,5,0.015740740740740722,0.4588633329825596,0.7079402184945607,0.29563607305446526
4,4,0.015740740740740722,0.0,0.9964569320238919,0.2530494181911581
4,5,0.017129629629629606,0.4722392364489351,0.9320847888674133,0.3553634137364945
5,5,0.013425925925925952,0.0,0.9659861773317937,0.24485302581442991
