cut1,cut2,acc_final,acc_cost,comm_total,comm_cost,comp_total,comp_cost,comp_client_total,comp_cost_client,comp_server_total,comp_cost_server,privacy_score_global,privacy_score_label,privacy_score_sample,privacy_cost,J
0,0,0.9888888888888889,0.011111111111111072,0.0,0.0,430.2966742264107,0.7956948575366115,430.2966742264107,0.7956948575366115,0.0,0.0,0.0,0.0,0.0,0.0,0.20170149216193065
0,1,0.9851851851851852,0.014814814814814836,28059.436479999953,1.0,371.6587100229226,0.6605585392547417,366.8118325341493,0.6519440598208188,4.846877488773316,0.008614479433922928,0.4569969628328963,0.4968495291448486,0.41714439652094404,0.4569969628328963,0.5330925792256133
0,2,0.9847222222222223,0.015277777777777724,22963.357120000004,0.818382690485167,313.39005772257224,0.5262733325618506,301.6796132363379,0.5066080799678874,11.710444486234337,0.019665252593963206,0.44689891257028835,0.48480957078078435,0.4089882543597924,0.44689891257028835,0.45170817834877086
0,3,0.9828703703703704,0.017129629629629606,22326.347199999982,0.7956805267958118,174.9373522726819,0.20719696071281937,147.56547703407705,0.17477753007224806,27.371875238604844,0.03241943064057132,0.45304187134059226,0.4963723410475194,0.40971140163366515,0.45304187134059226,0.3682622471197132
0,4,0.9851851851851852,0.014814814814814836,22007.842240000035,0.7843294449511365,86.80683189770207,0.004092466661649095,52.31426660902798,0.0024663311325353984,34.492565288674086,0.001626135529113697,0.48291166349712944,0.551192601879916,0.41463072511434285,0.48291166349712944,0.3215370974811825
0,5,0.9893518518518518,0.010648148148148184,26785.416640000032,0.9545956726212941,85.03104048455134,0.0,46.510646543465555,0.0,38.520393941085786,0.0,0.45349662848257943,0.49548232077757903,0.4115109361875798,0.45349662848257943,0.3546851123130054
1,1,0.9847222222222223,0.015277777777777724,0.0,0.0,500.60099754016846,0.957717320986226,500.60099754016846,0.957717320986226,0.0,0.0,0.0,0.0,0.0,0.0,0.24324877469100092
1,2,0.9856481481481482,0.014351851851851838,10223.158719999994,0.36433941669807945,410.02365185366943,0.7489739039511311,401.9383175764233,0.7342047452672312,8.085334277246147,0.014769158683899834,0.45822917508898664,0.5010861242113996,0.4153722259665736,0.45822917508898664,0.3964735868975122
1,3,0.986574074074074,0.013425925925925952,9586.148799999986,0.3416372530087248,246.1400049305521,0.37128970272371953,219.84266694169492,0.3316215032895689,26.29733798885718,0.039668199434150626,0.47785260274057406,0.5390800533391225,0.41662515214202567,0.47785260274057406,0.30105137109973606
1,4,0.987037037037037,0.012962962962962954,9267.643839999988,0.3302861711640477,157.67217808077112,0.1674078563930758,120.41689209640026,0.12785219323251762,37.25528598437086,0.03955566316055817,0.48368020158060737,0.5529530234220406,0.4144073797391742,0.48368020158060737,0.24858429802517346
1,5,0.9879629629629629,0.012037037037037068,14045.21824000002,0.5005523988342065,139.797310678754,0.12621366073337184,102.48428902588785,0.092526224022563,37.313021652866155,0.03368743671080884,0.49679992193406,0.578472716470345,0.4151271273977749,0.49679992193406,0.28390075463466885
2,2,0.9888888888888889,0.011111111111111072,0.0,0.0,503.4367006039247,0.964252446770041,503.4367006039247,0.964252446770041,0.0,0.0,0.0,0.0,0.0,0.0,0.243840889470288
2,3,0.987037037037037,0.012962962962962954,4490.069439999993,0.16001994349389018,331.3416882529855,0.5676444355663466,312.19862254336476,0.5348491214993452,19.143065709620714,0.03279531406700142,0.4759537717625848,0.5315724034826791,0.42033514004249056,0.4759537717625848,0.3041452784464461
2,4,0.9828703703703704,0.017129629629629606,4171.564480000005,0.1486688616492134,230.437384435907,0.335101640094875,201.09013766516,0.2924249253368943,29.347246770747006,0.042676714757980704,0.48117924488904107,0.5495191290881198,0.4128393606899623,0.48117924488904107,0.24551984406568977
2,5,0.9861111111111112,0.01388888888888884,8949.13888,0.3189350893193709,218.87485381634906,0.3084547767671147,188.39063048828393,0.26549413447484405,30.484223328065127,0.04296064229227064,0.4775999367463464,0.5395064716412756,0.41569340185141707,0.4775999367463464,0.2797196729304302
3,3,0.987037037037037,0.012962962962962954,0.0,0.0,518.9481765218079,1.0,518.9481765218079,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25324074074074077
3,4,0.9861111111111112,0.01388888888888884,3534.554560000005,0.12596669795985907,396.9706766693853,0.7188921807366706,386.46933388896286,0.6998748233957691,10.50134278042242,0.019017357340901486,0.4826170067414802,0.545645936602172,0.4195880768807885,0.4826170067414802,0.33534119358172465
3,5,0.9842592592592593,0.015740740740740722,8312.128959999991,0.29623292563001624,401.7243410474621,0.7298474161567086,389.66612949501723,0.7079402184945607,12.058211552444845,0.021907197662147843,0.4588633329825596,0.5007040331803764,0.41702263278474283,0.4588633329825596,0.37517110387750624
4,4,0.9842592592592593,0.015740740740740722,0.0,0.0,517.4107786128297,0.9964569320238919,517.4107786128297,0.9964569320238919,0.0,0.0,0.0,0.0,0.0,0.0,0.2530494181911581
4,5,0.9828703703703704,0.017129629629629606,7993.623999999999,0.2848818437853394,490.45905255619437,0.9343443215315482,489.2729713395238,0.9320847888674133,1.1860812166705728,0.002259532664134906,0.4722392364489351,0.5275319017115341,0.41694657118633616,0.4722392364489351,0.4271487578488631
5,5,0.986574074074074,0.013425925925925952,0.0,0.0,504.1889960039407,0.9659861773317937,504.1889960039407,0.9659861773317937,0.0,0.0,0.0,0.0,0.0,0.0,0.24485302581442991
