cut1,cut2,acc_cost,privacy_cost,comp_cost_client,static_cost
0,0,0.19540000000000002,0.0,0.8441817956938455,0.2598954489234614
0,1,0.19240000000000002,0.3370024039476171,0.7341813505835832,0.3158959386328001
0,2,0.19240000000000002,0.33473599285631517,0.5766028392401664,0.2759347080241204
0,3,0.18379999999999996,0.3342146779737064,0.19674210358671534,0.17868919539010542
0,4,0.18669999999999998,0.31429777904488176,0.012697940391078117,0.12842392985898995
0,5,0.18930000000000002,0.31568881240169816,0.0,0.12624720310042453
1,1,0.18669999999999998,0.0,1.0,0.296675
1,2,0.19230000000000003,0.329744777220383,0.7611644337471674,0.3208023027418876
1,3,0.1894,0.30746064094651226,0.3111930384249843,0.20201341984287413
1,4,0.18169999999999997,0.31458766574477787,0.08437312390786762,0.14516519741316136
1,5,0.19089999999999996,0.3386115182122104,0.06377172926408309,0.14832081186907337
2,2,0.1834,0.0,0.9508127710856517,0.2835531927714129
2,3,0.18500000000000005,0.34052198113645316,0.49340080035896183,0.25473069537385373
2,4,0.18689999999999996,0.3333376675203704,0.25488006312566247,0.1937794326615082
2,5,0.18610000000000004,0.33746332942517376,0.2417918751769124,0.19133880115052154
3,3,0.19410000000000005,0.0,0.8910800943315725,0.27129502358289315
3,4,0.18430000000000002,0.3482216488611883,0.7033507523509986,0.3089681003030468
3,5,0.19099999999999995,0.34281057552440924,0.6850651909178846,0.30471894161057345
4,4,0.18799999999999994,0.0,0.952796479046444,0.285199119761611
4,5,0.18520000000000003,0.3527020732150471,0.9053500586761767,0.360813032972806
5,5,0.18930000000000002,0.0,0.9294951591361899,0.2796987897840475
