exp_name,timestamp,client_idx,global_round,epoch,batch_idx,acc,loss,comm_time,comp_time,comp_time_client,comp_time_server,cut1,cut2,t_front,t_middle,t_back,smashed1_numel,smashed2_numel
cifar18_pattern_mining,2026-03-10T19:18:01,0,1,1,0,0.05859375,2.4206485748291016,15.109494399999999,0.05663360329344869,0.0499426294118166,0.00669097388163209,1,4,0.004575734958052635,0.00669097388163209,0.0004185279831290245,16777216.0,2097152.0
cifar18_pattern_mining,2026-03-10T19:18:01,0,2,1,1,0.12109375,2.472665786743164,15.109494399999999,0.016710840165615082,0.014172489754855633,0.002538350410759449,1,4,0.0011867322027683258,0.002538350410759449,0.00023051677271723747,16777216.0,2097152.0
cifar18_pattern_mining,2026-03-10T19:18:01,0,3,1,2,0.1796875,2.6107282638549805,15.109494399999999,0.017696415539830923,0.015199561603367329,0.0024968539364635944,1,4,0.0012823189608752728,0.0024968539364635944,0.0002376371994614601,16777216.0,2097152.0
cifar18_pattern_mining,2026-03-10T19:18:01,0,4,1,3,0.19921875,2.3730015754699707,15.109494399999999,0.01780716422945261,0.015314561314880848,0.002492602914571762,1,4,0.001300552859902382,0.002492602914571762,0.0002309032715857029,16777216.0,2097152.0
cifar18_pattern_mining,2026-03-10T19:18:01,0,5,1,4,0.20703125,2.2700328826904297,15.109494399999999,0.02251868089661002,0.01981625333428383,0.002702427562326193,1,4,0.001767745241522789,0.002702427562326193,0.00021388009190559387,16777216.0,2097152.0
cifar18_pattern_mining,2026-03-10T19:18:01,0,6,1,5,0.25390625,2.0313282012939453,15.109494399999999,0.01752264890819788,0.015038009732961655,0.002484639175236225,1,4,0.0012812349013984203,0.002484639175236225,0.00022256607189774513,16777216.0,2097152.0
cifar18_pattern_mining,2026-03-10T19:18:01,0,7,1,6,0.2890625,2.0619864463806152,15.109494399999999,0.017509018536657095,0.014969529584050179,0.0025394889526069164,1,4,0.001260155811905861,0.0025394889526069164,0.00023679714649915695,16777216.0,2097152.0
cifar18_pattern_mining,2026-03-10T19:18:02,0,8,1,7,0.265625,1.953188419342041,15.109494399999999,0.017255338840186596,0.014685341157019138,0.0025699976831674576,1,4,0.0012228102423250675,0.0025699976831674576,0.0002457238733768463,16777216.0,2097152.0
cifar18_pattern_mining,2026-03-10T19:18:02,0,9,1,8,0.26953125,1.8931148052215576,15.109494399999999,0.019084283616393805,0.016371035017073154,0.00271324859932065,1,4,0.0013781827874481678,0.00271324859932065,0.00025892071425914764,16777216.0,2097152.0
cifar18_pattern_mining,2026-03-10T19:18:02,0,10,1,9,0.32421875,1.8695447444915771,15.109494399999999,0.019927043467760086,0.016949563287198544,0.0029774801805615425,1,4,0.0013892869465053082,0.0029774801805615425,0.0003056693822145462,16777216.0,2097152.0
cifar18_pattern_mining,2026-03-10T19:18:02,0,11,1,10,0.33984375,1.8482474088668823,15.109494399999999,0.01883593201637268,0.01586463302373886,0.0029712989926338196,1,4,0.0013066702522337437,0.0029712989926338196,0.00027979305014014244,16777216.0,2097152.0
