cut1,cut2,acc_cost,privacy_cost,comp_cost_client,static_cost
0,0,0.32938240798502805,0.0,1.0,0.332345601996257
0,1,0.3250155957579538,0.5252930771548824,0.725701678327422,0.3940025878100646
0,2,0.33063006862133504,0.5750937487294827,0.5332714975180174,0.3597488287172088
0,3,0.3406113537117904,0.5393074797790883,0.1722517236299986,0.2630426392802193
0,4,0.3480973175296319,0.557951339119335,0.013055754164605015,0.229776102703393
0,5,0.3493449781659389,0.5533217239731485,0.0,0.22566667553477185
1,1,0.3262632563942608,0.0,0.8725997591307748,0.29971575388125893
1,2,0.3493449781659389,0.5110828623591562,0.6661112899733571,0.38163478262461303
1,3,0.3156581409856519,0.49745656193126264,0.28720114107375855,0.27507896099766826
1,4,0.33000623830318154,0.48105661992585014,0.11628559508139996,0.23183711332760792
1,5,0.35308796007485965,0.5620788068103947,0.08815182327298726,0.2508296475395604
2,2,0.3431066749844043,0.0,0.850738048600542,0.2984611808962366
2,3,0.33686837180286966,0.4729199401560559,0.42984039303984034,0.30990717624969144
2,4,0.35995009357454777,0.4848210425924435,0.23987651472085295,0.27116191272196105
2,5,0.32751091703056767,0.5072356593650085,0.21276176794707155,0.2618770860856619
3,3,0.3243917654398004,0.0,0.8322712026586682,0.28916574202461715
3,4,0.31316281971303805,0.5523190086672387,0.6010139845229191,0.366623953225799
3,5,0.3955084217092951,0.5377397858835581,0.5674827330994512,0.3751827351730761
4,4,0.32751091703056767,0.0,0.8579497506257363,0.296365166914076
4,5,0.32002495321272617,0.5136743896336835,0.7555714947436556,0.3973177093975163
5,5,0.3100436681222707,0.0,0.8538938150719618,0.2909843707985581
