client_idx,global_round,bw_up_mbps,bw_down_mbps,rtt_ms,comm_time
0,1,10.60031625544294,16.60083972590334,36.58350576515851,0.036583505765158515
0,2,11.544683953483737,15.096902808424591,37.04600587233997,0.03704600587233997
0,3,11.717291362045186,17.48839779886653,35.45196389126386,0.03545196389126386
1,1,34.86471647747168,66.44506177026908,13.300130191017045,0.013300130191017044
2,1,10.307662788651653,18.651623731206122,34.48523476199951,0.03448523476199951
2,2,10.731592105075851,19.889937049053522,33.636203293814845,0.033636203293814844
2,3,10.958082363888801,22.30878581044474,37.96795317455842,0.037967953174558415
2,4,9.944270745768685,20.38091791007494,37.09676781380275,0.03709676781380275
2,5,9.761327564934,21.168285678999602,38.142573144070326,0.038142573144070324
2,6,10.996200335658948,19.508544391817768,39.291506057810395,0.03929150605781039
2,7,10.978078424124657,17.729762276280553,40.06456610636829,0.04006456610636829
2,8,11.093446989470676,16.472548151853243,43.128648110096634,0.04312864811009663
2,9,10.882511800748816,14.12209175414398,38.01520213119994,0.038015202131199945
2,10,10.467702682052833,17.746737767055688,40.69449212782466,0.04069449212782466
2,11,12.08437327396174,18.411977851222353,43.817198716586894,0.043817198716586896
2,12,13.085644539236789,20.505676907582107,44.60189638787516,0.04460189638787516
2,13,12.48354865745237,20.24994004705754,45.84111743824435,0.04584111743824435
2,14,11.157220244739738,20.606109771853724,39.77292759807324,0.039772927598073236
2,15,12.421747718179319,20.270306138517967,37.0585401682515,0.0370585401682515
3,1,30.398062290383255,61.03977097166095,13.178195029059074,0.013178195029059075
3,2,34.25457367390724,62.38704716840634,12.835803540786976,0.012835803540786976
3,3,38.32591159253387,63.63128033350196,13.891977950643073,0.013891977950643073
3,4,37.68549780769269,52.797493098665456,13.59469059812119,0.01359469059812119
4,1,9.596639159644113,17.02120792683402,35.73148510810016,0.03573148510810016
4,2,10.967449105449298,15.82124659727234,38.19591649887798,0.03819591649887798
4,3,10.078871052744367,16.46293048329662,42.664934804884574,0.04266493480488458
4,4,10.181333184938634,17.310689303687624,42.42707645838013,0.04242707645838013
4,5,10.337377498044106,20.80244918033943,38.5019148502852,0.0385019148502852
4,6,10.518257219047255,23.32679634511216,34.640915996339224,0.03464091599633922
4,7,10.325406376513728,24.537076588945766,29.298318383394868,0.029298318383394868
4,8,11.120224433803532,25.150638786636605,26.461217573382225,0.026461217573382226
4,9,11.009897087852401,23.982862615657258,25.73067060045392,0.02573067060045392
4,10,13.038611596443719,24.608338272669755,27.35111721624327,0.02735111721624327
4,11,11.090187760967204,21.65787226689862,22.85055832942848,0.02285055832942848
4,12,10.96686342505893,20.324215146733444,27.92493059972437,0.027924930599724368
0,4,11.467129200742425,18.538096092182933,40.071547480015624,0.040071547480015623
0,5,10.441132356941129,19.928230144772815,36.401170417341206,0.03640117041734121
0,6,10.667372836758247,20.367453218364705,31.631829738231517,0.03163182973823152
1,2,34.593419103345425,74.1142157314146,11.718527806935596,0.011718527806935596
2,16,11.433825858608328,18.452481295705457,37.17052285779122,0.03717052285779122
2,17,11.341037585588518,17.48575045285804,35.04097316361616,0.03504097316361616
2,18,11.798124996142958,19.915144858453857,35.27865058593358,0.03527865058593358
2,19,11.472140315995269,20.39843441602189,34.1945964031247,0.0341945964031247
2,20,12.166393403975903,19.241864139000057,33.997606988752324,0.03399760698875232
2,21,13.060992945583461,17.915715027249377,34.81779269538734,0.03481779269538734
2,22,14.172005080416286,17.858619027793225,34.21763995387539,0.03421763995387539
2,23,12.720629892669093,15.234486459155905,35.06853650685354,0.03506853650685354
2,24,10.760701869615229,18.505366345490177,33.628901678008724,0.03362890167800872
2,25,10.606050042236346,16.946107516256312,42.040323345786085,0.042040323345786085
2,26,10.903311162746688,18.224303719420966,43.2314265087676,0.0432314265087676
2,27,10.179609083327568,18.63180935740076,43.75369500596255,0.043753695005962545
2,28,10.166198490643914,19.46819866612876,41.61859345270266,0.04161859345270266
2,29,10.63014775793893,19.959806275774564,41.206256076629444,0.04120625607662944
2,30,10.999852943881741,19.290631536799143,40.958063489824255,0.040958063489824253
3,5,37.44357671872971,55.49616810036967,14.967568596199166,0.014967568596199167
3,6,36.94810789073631,52.71980220138885,15.123831800879861,0.015123831800879861
3,7,40.703528502617296,48.96903057377576,15.364131722067853,0.015364131722067853
3,8,37.00000579362306,57.10652543500056,16.111575276479588,0.01611157527647959
4,13,12.650832099322502,23.438973371579365,32.49303861954432,0.03249303861954432
4,14,12.234482367990525,21.009624477312578,30.090331830196288,0.030090331830196288
4,15,11.9838922900142,22.355215087131132,29.41612310499003,0.029416123104990033
4,16,11.749734504443554,21.094710706274174,26.36330560745215,0.02636330560745215
4,17,11.067475203988513,20.796122107061837,25.50456529231959,0.02550456529231959
4,18,10.006608987288903,22.61333393150681,30.192018814187296,0.030192018814187295
4,19,10.636407167078444,21.811451866322585,34.01969877704725,0.034019698777047254
4,20,9.326672700774544,20.604578808271793,30.588357823127193,0.030588357823127195
4,21,7.88414596055005,20.770936482538378,35.97993513744331,0.03597993513744331
4,22,7.4223186738952585,21.76832086301004,34.805595091649586,0.034805595091649585
4,23,8.15346768119111,21.745411553343214,37.00803139681698,0.03700803139681698
4,24,6.62412071479094,22.144438699107127,34.21298259201692,0.034212982592016924
0,7,9.78564314875706,20.364765096731897,33.69799043830113,0.033697990438301136
0,8,10.31905751899583,19.820565018906958,33.865786052193826,0.03386578605219383
0,9,9.80573749825339,19.264192669478945,33.586068919187554,0.033586068919187556
1,3,34.78400718385579,71.70936332788315,12.33981038628746,0.01233981038628746
2,31,11.663591441624728,18.03659825695489,40.44921231469024,0.040449212314690244
2,32,11.579267634055148,16.841234681046924,44.239976011327705,0.0442399760113277
2,33,11.233650764521038,14.607350309494404,44.02881791755018,0.04402881791755018
2,34,10.908767424746431,11.730511143304954,40.21351138726136,0.04021351138726136
2,35,9.460988281970582,11.88402129406189,41.308071839084185,0.041308071839084186
2,36,9.04936375170877,9.362079755739101,42.066602227070135,0.042066602227070135
2,37,8.909297560711668,9.151216459973881,41.924572725040555,0.041924572725040556
2,38,7.621720084105245,7.8463465189615045,39.01862271448478,0.03901862271448478
2,39,6.239369315241808,6.5173187347092165,32.166773242816994,0.03216677324281699
2,40,7.534388433234768,8.944271713606376,36.05578903691535,0.03605578903691535
2,41,8.070627624737423,10.233672859685655,36.00387332064429,0.03600387332064429
2,42,8.256016877996224,15.081832180270903,39.29368140077947,0.03929368140077947
2,43,7.6887975115945135,14.86448335013755,41.04210508888315,0.041042105088883146
2,44,9.472734069450008,17.751132622869164,37.92225064776396,0.03792225064776396
2,45,9.050363789647164,18.603390575027237,37.59030547135925,0.03759030547135925
3,9,38.596527709142954,58.486661689099435,14.625896164367978,0.014625896164367979
3,10,39.9661447746047,57.08691877738796,13.497537272526566,0.013497537272526566
3,11,40.99522149233282,59.59298012901434,14.11326538439967,0.01411326538439967
3,12,39.99181443662497,52.782918729731776,12.428915282846518,0.012428915282846517
4,25,7.710370617565361,22.789439016660445,33.7233302322812,0.0337233302322812
4,26,7.797698468267086,22.281988805579065,33.74920589692227,0.03374920589692227
4,27,7.465286707531815,20.12167166126958,33.5957379017479,0.033595737901747906
4,28,7.958696901058739,22.947436848793092,28.735702000791107,0.02873570200079111
4,29,7.535088446971548,25.406245943361554,30.690407541305902,0.030690407541305902
4,30,7.4665754080256175,24.599812962208198,36.005537241884646,0.03600553724188465
4,31,7.964433409899836,22.730431833780376,35.07725610947904,0.03507725610947904
4,32,7.35423707533403,23.44781457638531,33.1749922177614,0.0331749922177614
4,33,6.449850270133119,21.01043719748329,33.25563674515133,0.03325563674515133
4,34,6.426337323096551,20.88454181849351,35.64508004555362,0.03564508004555362
4,35,5.032340555912924,21.305290448676963,30.268174395468357,0.030268174395468358
4,36,6.221330799016764,20.767091386402875,32.99091254738947,0.03299091254738947
0,10,10.468681526478179,14.366173434227566,38.57122043946169,0.03857122043946169
0,11,10.114145285767167,17.332520278838018,40.750790602514314,0.04075079060251431
0,12,9.201169733319565,18.49417816932457,47.106457145087376,0.04710645714508738
1,4,35.697242254798056,76.85990238030996,13.255857208326672,0.013255857208326673
2,46,7.575642004574931,21.43235306553111,37.90244470115031,0.03790244470115031
2,47,8.038886225271401,18.310882718005917,34.00588523902853,0.03400588523902853
