exp_name,timestamp,client_idx,global_round,epoch,batch_idx,acc,loss,comm_time,comp_time,comp_time_client,comp_time_server,cut1,cut2,t_front,t_middle,t_back,smashed1_numel,smashed2_numel
euro_mbv2_pattern_mining,2026-03-11T17:16:42,0,1,1,0,0.09375,2.427936553955078,2.7362976,0.26194117683917284,0.2562369918450713,0.005704184994101524,3,5,0.024898020084947348,0.005704184994101524,0.0007256790995597839,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:42,0,2,1,1,0.296875,2.085056781768799,2.7362976,0.09127905638888478,0.08855801541358232,0.002721040975302458,3,5,0.008564076852053404,0.002721040975302458,0.00029172468930482864,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:42,0,3,1,2,0.515625,1.7922558784484863,2.7362976,0.08490365790203214,0.08234678767621517,0.002556870225816965,3,5,0.00796426273882389,0.002556870225816965,0.0002704160287976265,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:42,0,4,1,3,0.6015625,1.4061625003814697,2.7362976,0.08479526033625007,0.08227787911891937,0.002517381217330694,3,5,0.007958718109875917,0.002517381217330694,0.0002690698020160198,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:42,0,5,1,4,0.6875,1.2025277614593506,2.7362976,0.08128031436353922,0.07885551545768976,0.002424798905849457,3,5,0.007607634179294109,0.002424798905849457,0.00027791736647486687,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:42,0,6,1,5,0.7578125,1.0286905765533447,2.7362976,0.08359368843957782,0.08104502223432064,0.0025486662052571774,3,5,0.007819809019565582,0.0025486662052571774,0.0002846932038664818,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:42,0,7,1,6,0.796875,0.8597515821456909,2.7362976,0.08044856740161777,0.07792475633323193,0.0025238110683858395,3,5,0.00752216437831521,0.0025238110683858395,0.00027031125500798225,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:42,0,8,1,7,0.875,0.5663699507713318,2.7362976,0.08453180734068155,0.08201424032449722,0.00251756701618433,3,5,0.007925243116915226,0.00251756701618433,0.0002761809155344963,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:42,0,9,1,8,0.859375,0.5899133682250977,2.7362976,0.07779367500916123,0.07536356803029776,0.0024301069788634777,3,5,0.0072716097347438335,0.0024301069788634777,0.0002647470682859421,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:42,0,10,1,9,0.7890625,0.5897387266159058,2.7362976,0.07401450537145138,0.07170805241912603,0.002306452952325344,3,5,0.006909538060426712,0.002306452952325344,0.00026126718148589134,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:42,0,11,1,10,0.90625,0.3344483971595764,2.7362976,0.07852150360122323,0.0761484494432807,0.0023730541579425335,3,5,0.007358992006629705,0.0023730541579425335,0.00025585293769836426,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:42,0,12,1,11,0.921875,0.275963693857193,2.7362976,0.07204592833295465,0.06975909229367971,0.002286836039274931,3,5,0.0067278072237968445,0.002286836039274931,0.00024810200557112694,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,13,1,12,0.90625,0.31505417823791504,2.7362976,0.07474045595154166,0.07241437677294016,0.0023260791786015034,3,5,0.006970567628741264,0.0023260791786015034,0.00027087004855275154,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,14,1,13,0.8671875,0.35668236017227173,2.7362976,0.07112671621143818,0.06890482734888792,0.0022218888625502586,3,5,0.006637158803641796,0.0022218888625502586,0.0002533239312469959,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,15,1,14,0.859375,0.32120147347450256,2.7362976,0.07383442716673017,0.07156250532716513,0.0022719218395650387,3,5,0.006896523758769035,0.0022719218395650387,0.00025972677394747734,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,16,1,15,0.9296875,0.19823020696640015,2.7362976,0.09032296016812325,0.08776037022471428,0.002562589943408966,3,5,0.008500962983816862,0.002562589943408966,0.0002750740386545658,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,17,1,16,0.84375,0.39216408133506775,2.7362976,0.08632460748776793,0.08355672936886549,0.002767878118902445,3,5,0.008035032078623772,0.002767878118902445,0.00032064085826277733,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,18,1,17,0.9140625,0.2691701650619507,2.7362976,0.10010008001700044,0.0971334520727396,0.0029666279442608356,3,5,0.009402768220752478,0.0029666279442608356,0.00031057698652148247,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,19,1,18,0.9296875,0.21795408427715302,2.7362976,0.08593104174360633,0.08327223360538483,0.0026588081382215023,3,5,0.008047454059123993,0.0026588081382215023,0.00027976930141448975,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,20,1,19,0.890625,0.30158835649490356,2.7362976,0.07966356538236141,0.07729016244411469,0.002373402938246727,3,5,0.0074601490050554276,0.002373402938246727,0.00026886723935604095,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,21,1,20,0.9375,0.18646550178527832,2.7362976,0.07693581655621529,0.07451997138559818,0.0024158451706171036,3,5,0.007181201130151749,0.0024158451706171036,0.0002707960084080696,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,22,1,21,0.8984375,0.320414274930954,2.7362976,0.07432149443775415,0.07197679951786995,0.002344694919884205,3,5,0.006947868037968874,0.002344694919884205,0.00024981191381812096,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,23,1,22,0.9140625,0.25806745886802673,2.7362976,0.0818924461491406,0.07951635401695967,0.002376092132180929,3,5,0.007686203345656395,0.002376092132180929,0.00026543205603957176,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,24,1,23,0.953125,0.16450875997543335,2.7362976,0.07866899482905865,0.07625767961144447,0.002411315217614174,3,5,0.007348380982875824,0.002411315217614174,0.00027738697826862335,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,25,1,24,0.9296875,0.2279473841190338,2.7362976,0.064611264038831,0.06255362182855606,0.0020576422102749348,3,5,0.006043848115950823,0.0020576422102749348,0.00021151406690478325,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,26,1,25,0.9140625,0.2524833083152771,2.7362976,0.0653527993708849,0.06330717820674181,0.0020456211641430855,3,5,0.00611475482583046,0.0020456211641430855,0.0002159629948437214,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,27,1,26,0.9609375,0.12617483735084534,2.7362976,0.06554900435730815,0.06349399220198393,0.0020550121553242207,3,5,0.006122892256826162,0.0020550121553242207,0.00022650696337223053,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,28,1,27,0.90625,0.27808257937431335,2.7362976,0.06488716835156083,0.06284222938120365,0.0020449389703571796,3,5,0.006074354983866215,0.0020449389703571796,0.0002098679542541504,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,29,1,28,0.9296875,0.23304428160190582,2.7362976,0.06456534843891859,0.06252356339246035,0.0020417850464582443,3,5,0.006029347889125347,0.0020417850464582443,0.00022300845012068748,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,30,1,29,0.9375,0.17908793687820435,2.7362976,0.064278619363904,0.06214675959199667,0.0021318597719073296,3,5,0.00596485985442996,0.0021318597719073296,0.0002498161047697067,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:43,0,31,1,30,0.9375,0.19796127080917358,1.0323616,0.06701505277305841,0.0649977196007967,0.002017333172261715,3,5,0.00628999900072813,0.002017333172261715,0.0002097729593515396,294912.0,983040.0
euro_mbv2_pattern_mining,2026-03-11T17:16:44,1,1,1,0,0.03125,2.461843490600586,2.7362976,0.23257588734850287,0.22787694819271564,0.0046989391557872295,3,5,0.022288206033408642,0.0046989391557872295,0.0004994887858629227,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:44,1,2,1,1,0.28125,2.044065475463867,2.7362976,0.07035889709368348,0.06820371374487877,0.0021551833488047123,3,5,0.006565735209733248,0.0021551833488047123,0.00025463616475462914,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:44,1,3,1,2,0.46875,1.8112144470214844,2.7362976,0.07444211328402162,0.07225465029478073,0.0021874629892408848,3,5,0.0069811479188501835,0.0021874629892408848,0.00024431711062788963,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:44,1,4,1,3,0.6171875,1.5813360214233398,2.7362976,0.07746860524639487,0.07503081113100052,0.002437794115394354,3,5,0.007236596196889877,0.002437794115394354,0.00026648491621017456,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:44,1,5,1,4,0.75,1.2037999629974365,2.7362976,0.08160308608785272,0.0791583489626646,0.0024447371251881123,3,5,0.00764702120795846,0.0024447371251881123,0.00026881368830800056,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:44,1,6,1,5,0.765625,0.9544419050216675,2.7362976,0.07524383114650846,0.07289220578968525,0.002351625356823206,3,5,0.007031959015876055,0.002351625356823206,0.00025726156309247017,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:44,1,7,1,6,0.7578125,0.7997502684593201,2.7362976,0.07946250308305025,0.07705451920628548,0.0024079838767647743,3,5,0.007447460200637579,0.0024079838767647743,0.0002579917199909687,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:44,1,8,1,7,0.8203125,0.6884538531303406,2.7362976,0.07482027960941195,0.0724633177742362,0.0023569618351757526,3,5,0.006985250860452652,0.0023569618351757526,0.00026108091697096825,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:44,1,9,1,8,0.8515625,0.5433024168014526,2.7362976,0.07800439279526472,0.07558837067335844,0.0024160221219062805,3,5,0.007294278126209974,0.0024160221219062805,0.00026455894112586975,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:44,1,10,1,9,0.8203125,0.5152007341384888,2.7362976,0.07616047468036413,0.07377725094556808,0.002383223734796047,3,5,0.007103980053216219,0.002383223734796047,0.0002737450413405895,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:44,1,11,1,10,0.8984375,0.38630616664886475,2.7362976,0.07624836266040802,0.07387023884803057,0.002378123812377453,3,5,0.00711493194103241,0.002378123812377453,0.00027209194377064705,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:44,1,12,1,11,0.8515625,0.43167978525161743,2.7362976,0.07031761389225721,0.0681011425331235,0.0022164713591337204,3,5,0.00655947532504797,0.0022164713591337204,0.0002506389282643795,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:44,1,13,1,12,0.828125,0.45109888911247253,2.7362976,0.06733747012913227,0.06519850809127092,0.002138962037861347,3,5,0.006277901586145163,0.002138962037861347,0.00024194922298192978,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:45,1,14,1,13,0.8671875,0.37386655807495117,2.7362976,0.06809853203594685,0.06596683990210295,0.0021316921338438988,3,5,0.006341841071844101,0.0021316921338438988,0.00025484291836619377,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:45,1,15,1,14,0.890625,0.32485127449035645,2.7362976,0.09260262595489621,0.09001061785966158,0.0025920080952346325,3,5,0.008717312011867762,0.0025920080952346325,0.0002837497740983963,786432.0,2621440.0
euro_mbv2_pattern_mining,2026-03-11T17:16:45,1,16,1,15,0.8515625,0.419340044260025,2.7362976,0.09478669799864292,0.09234309196472168,0.0024436060339212418,3,5,0.008945317007601261,0.0024436060339212418,0.00028899218887090683,786432.0,2621440.0
