cut1,cut2,acc_cost,privacy_cost,comp_cost_client,static_cost
0,0,0.00694444444444442,0.0,0.8508423270882899,0.21444669288318358
0,1,0.07638888888888884,0.42449934106683207,0.6638735421825595,0.2911904430345701
0,2,0.01388888888888884,0.4539258505248923,0.5771688025103459,0.2612458854810318
0,3,0.02083333333333337,0.40840232078377436,0.1474470246896633,0.14417066970169276
0,4,0.2847222222222222,0.43320464315355023,0.0,0.1794817163439431
0,5,0.06944444444444442,0.435236093570639,0.03640676993978944,0.1352718269887182
1,1,0.04166666666666663,0.0,0.7629528650133666,0.2011548829200083
1,2,0.01388888888888884,0.4414363881673277,0.6668194502084368,0.28053618181616335
1,3,0.0,0.39677668644302133,0.26266517362668684,0.16486046501742704
1,4,0.1527777777777778,0.43087770456355623,0.10097536061096285,0.17115771073807423
1,5,0.03472222222222221,0.4048479100285222,0.08957741685529166,0.13228688727650903
2,2,0.0,0.0,0.91625797331203,0.2290644933280075
2,3,0.08333333333333337,0.41288512228180674,0.5039238625423557,0.25003557953937394
2,4,0.0,0.4322216698659818,0.28320065579958204,0.17885558141639096
2,5,0.13194444444444442,0.43444434295965473,0.26444041948052804,0.2077073017211568
3,3,0.02083333333333337,0.0,0.9061046848337759,0.23173450454177733
3,4,0.02777777777777779,0.42380858992473436,0.7267155519870587,0.29457547992239275
3,5,0.0625,0.44191048763646745,0.6326779466600934,0.2842721085741402
4,4,0.00694444444444442,0.0,0.9678963865297375,0.2437102077435455
4,5,0.03472222222222221,0.43552026115270454,0.9152483146611866,0.3463726995090283
5,5,0.0,0.0,1.0,0.25
