cut1,cut2,acc_cost,privacy_cost,comp_cost_client,static_cost
0,0,0.26637554585152834,0.0,1.0,0.3165938864628821
0,1,0.2457891453524641,0.4887621405116712,0.5907116697870344,0.3313157389127924
0,2,0.2632563942607611,0.5457965230040502,0.3277490740074454,0.28420049781806417
0,3,0.26450405489706796,0.5410367321952421,0.15849686394832888,0.24100941276015972
0,4,0.24890829694323147,0.622088189783615,0.00806364816786434,0.2197650337236777
0,5,0.2457891453524641,0.44841810128531695,0.0,0.17355181165944528
1,1,0.28072364316905807,0.0,0.8202647137784009,0.27524708923686475
1,2,0.24142233312538985,0.5697958492982886,0.5501132308428345,0.3403328533166282
1,3,0.3006862133499688,0.5158373453864096,0.34569821987232785,0.29055544465217653
1,4,0.27386150966936995,0.5108250213771984,0.16013630200930032,0.23620570826396717
1,5,0.25015595757953835,0.6894508450294907,0.16452214463928155,0.27603223681207767
2,2,0.2526512788521522,0.0,0.8786792240084057,0.28283262571513945
2,3,0.2526512788521522,0.5362087676502761,0.6193878445583708,0.3520619727651998
2,4,0.31316281971303805,0.5849512865655022,0.38297937016570893,0.3202733691110623
2,5,0.24828446662507797,0.7075573738881182,0.43651293496306875,0.34808869386906627
3,3,0.25764192139737996,0.0,0.9504681013788365,0.3020275056940541
3,4,0.25015595757953835,0.5508696396789472,0.5689854422088213,0.3425027598668267
3,5,0.2532751091703057,0.6238906775276549,0.5325183178150013,0.35242102612824044
4,4,0.2626325639426076,0.0,0.8671601457093208,0.2824481774129821
4,5,0.24266999376169684,0.6682771512336514,0.7683577266183474,0.4198262179034239
5,5,0.25077978789769184,0.0,0.8852958353947685,0.28401890582311506
