cut1,cut2,acc_cost,privacy_cost,comp_cost_client,static_cost
0,0,0.13975000000000004,0.0,0.7883729705137347,0.23203074262843368
0,1,0.14200000000000002,0.3217378622927917,0.8201738944178376,0.3209779391776573
0,2,0.14225,0.3255318590408846,0.6176246243483203,0.27135162084730124
0,3,0.14625,0.3290797162682787,0.20719732716088318,0.17063176085729048
0,4,0.135,0.2955274292969375,0.01330184830083547,0.11095731939944324
0,5,0.14049999999999996,0.3115026844120811,0.0,0.11300067110302027
1,1,0.134,0.0,0.9471993562836988,0.2702998390709247
1,2,0.14849999999999997,0.34099033408338475,0.7724821706952412,0.31549312619465647
1,3,0.139,0.32007893948568944,0.3289063165466327,0.19699631400808054
1,4,0.14425,0.33622458255570553,0.10989629543081737,0.14759271949663072
1,5,0.13324999999999998,0.3307440262083772,0.09476426773074137,0.13968957348477962
2,2,0.14249999999999996,0.0,0.9727784780492882,0.27881961951232204
2,3,0.14775000000000005,0.32621758710629317,0.5319467325553389,0.251478579915408
2,4,0.14024999999999999,0.32529508890883463,0.2902402209753709,0.1889463274710514
2,5,0.13749999999999996,0.32282555537313545,0.2683516681251919,0.18216930587458183
3,3,0.14525,0.0,0.9720065499455665,0.2793141374863916
3,4,0.14175000000000004,0.3197153314434129,0.7232872578790627,0.29618814733061893
3,5,0.13824999999999998,0.32615327128302474,0.7023861776508313,0.291697362233464
4,4,0.14,0.0,0.9850601275368374,0.28126503188420937
4,5,0.14300000000000002,0.3389242126031251,0.9617901628318334,0.36092859385873965
5,5,0.14100000000000001,0.0,1.0,0.28525
