cut1,cut2,acc_final,acc_cost,comm_total,comm_cost,comp_total,comp_cost,comp_client_total,comp_cost_client,comp_server_total,comp_cost_server,privacy_score_global,privacy_score_label,privacy_score_sample,privacy_cost,J
0,0,0.7234148776834748,0.2765851223165252,15.890000000000022,0.0001726999564154269,316.39790020883083,1.0,316.39790020883083,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3191894555682352
0,1,0.6819770344483275,0.31802296555167253,51483.561919999935,1.0,79.05988595820963,0.18117513958104134,77.50374834984541,0.17760906501635346,1.5561376083642244,0.0035660745646878844,0.5735625268529493,0.5184931903540121,0.6286318633518865,0.5735625268529493,0.5181901579964158
0,2,0.7403894158761857,0.2596105841238143,38614.421440000006,0.7500000000000011,62.29991627577692,0.12335262901873253,59.049528958275914,0.11691692500962798,3.2503873175010085,0.006435704009104546,0.5220439668118518,0.5251836906740984,0.5189042429496052,0.5220439668118518,0.41375179498859993
0,3,0.7383924113829257,0.26160758861707434,32179.85120000005,0.6250000000000018,42.68360375799239,0.05567563083525442,37.30189383029938,0.048655837078019126,5.381709927693009,0.00701979375723529,0.49441243149261016,0.4874218801482148,0.5014029828370055,0.49441243149261016,0.35917391273623517
0,4,0.7438841737393909,0.25611582626060914,28962.566080000026,0.5625000000000012,27.96025683544576,0.004879543546753014,21.49912327528,0.0037519651144888185,6.461133560165763,0.0011275784322641949,0.6172847022704946,0.5059160067586437,0.7286533977823455,0.6172847022704946,0.3601950180194645
0,5,0.7319021467798302,0.26809785322016977,25810.939839999995,0.5012755102040822,26.54591143410653,0.0,19.754124069586396,0.0,6.7917873645201325,0.0,0.5727537519892928,0.500286625620019,0.6452208783585666,0.5727537519892928,0.3355317788533862
1,1,0.691462805791313,0.30853719420868697,7.000000000000009,0.0,91.10019393265247,0.22271464402032495,91.10019393265247,0.22271464402032495,0.0,0.0,0.0,0.0,0.0,0.0,0.13281295955725297
1,2,0.7309036445332002,0.2690963554667998,38614.421440000006,0.7500000000000011,77.89136466663331,0.1771436982356983,76.00943303667009,0.17286373305361144,1.8819316299632192,0.004279965182086848,0.5016968849312436,0.5006150953561661,0.5027786745063212,0.5016968849312436,0.42448423465843577
1,3,0.7388916625062406,0.2611083374937594,32179.85120000005,0.6250000000000018,57.078886036761105,0.10533988306143759,53.37705877609551,0.09850810904081266,3.7018272606655955,0.006831774020624932,0.5367959017977533,0.504597983542529,0.5689938200529775,0.5367959017977533,0.38206103058823804
1,4,0.7329006490264603,0.26709935097353965,28962.566080000026,0.5625000000000012,43.17542229127139,0.057372422826774086,38.19889654405415,0.05075950917762613,4.976525747217238,0.00661291364914795,0.5464562341049096,0.5012028307602198,0.5917096374495995,0.5464562341049096,0.35835700197630616
1,5,0.7194208686969545,0.28057913130304546,25810.939839999995,0.5012755102040822,39.88187652733177,0.0460095690548809,34.730947110801935,0.040067219714216555,5.150929416529834,0.005942349340664346,0.585372426810339,0.5400320088618511,0.6307128447588268,0.585372426810339,0.3533091593430869
2,2,0.7199201198202696,0.2800798801797304,7.000000000000009,0.0,87.93628761544824,0.211799051097955,87.93628761544824,0.211799051097955,0.0,0.0,0.0,0.0,0.0,0.0,0.12296973281942135
2,3,0.7144283574638043,0.2855716425361957,19310.71072000001,0.37500000000000067,82.08100167475641,0.19159809969015695,80.37857726216316,0.1876242046881018,1.7024244125932455,0.003973895002055182,0.5039286010277759,0.5232959918546627,0.48456121020088927,0.5039286010277759,0.33902458581353234
2,4,0.690963554667998,0.30903644533200203,16093.425600000033,0.31250000000000105,57.84030624572188,0.10796681072951908,54.76124473847449,0.10221932299034213,3.0790615072473884,0.005747487739176951,0.5073625407974846,0.4553775214832528,0.5593475601117164,0.5073625407974846,0.30921644921475167
2,5,0.7393909136295557,0.26060908637044433,12941.799360000003,0.251275510204082,56.50847580563277,0.10337194682770809,53.34329986944795,0.09758183492129166,3.1651759361848235,0.005790111906416424,0.5146815380556382,0.5499659938168747,0.4793970822944016,0.5146815380556382,0.28248452036446814
3,3,0.7304043934098852,0.26959560659011483,7.000000000000009,0.0,85.73295340873301,0.2041974672136102,85.73295340873301,0.2041974672136102,0.0,0.0,0.0,0.0,0.0,0.0,0.11844826845093126
3,4,0.7309036445332002,0.2690963554667998,9658.855359999994,0.1875000000000001,75.94913036189973,0.17044291859660088,74.65871389955282,0.1675470019876881,1.2904164623469114,0.0028959166089127927,0.49161986720292983,0.4637966735876051,0.5194430608182545,0.49161986720292983,0.2796647853165827
3,5,0.7239141288067898,0.27608587119321015,6507.229120000009,0.12627551020408198,73.09568146057427,0.16059841515404147,71.72688447870314,0.157591033301056,1.368796981871128,0.003007381852985482,0.5200999353512286,0.49068104182237987,0.5495188288800772,0.5200999353512286,0.2707649329756405
4,4,0.7059410883674488,0.29405891163255116,7.000000000000009,0.0,90.66049676388502,0.22119767264943266,90.66049676388502,0.22119767264943266,0.0,0.0,0.0,0.0,0.0,0.0,0.12881414607049596
4,5,0.7179231153270095,0.2820768846729905,3289.944000000003,0.06377551020408177,111.14261387474835,0.2918617284575238,111.05895416811109,0.29164203714624226,0.0836597066372633,0.00021969131128153724,0.5197906845604265,0.5055075320720464,0.5340738370488068,0.5197906845604265,0.2893762019737557
5,5,0.7124313529705442,0.28756864702945584,7.000000000000009,0.0,131.26177003607154,0.361273555667583,131.26177003607154,0.361273555667583,0.0,0.0,0.0,0.0,0.0,0.0,0.1622105506742597
