cut1,cut2,acc_cost,privacy_cost,comp_cost_client,static_cost
0,0,0.2765851223165252,0.0,1.0,0.3191462805791313
0,1,0.31802296555167253,0.5735625268529493,0.17760906501635346,0.26729863935524384
0,2,0.2596105841238143,0.5220439668118518,0.11691692500962798,0.22464286898632355
0,3,0.26160758861707434,0.49441243149261016,0.048655837078019126,0.2011689642969259
0,4,0.25611582626060914,0.6172847022704946,0.0037519651144888185,0.21928812341139814
0,5,0.26809785322016977,0.5727537519892928,0.0,0.21021290130236564
1,1,0.30853719420868697,0.0,0.22271464402032495,0.13281295955725297
1,2,0.2690963554667998,0.5016968849312436,0.17286373305361144,0.23591424336291372
1,3,0.2611083374937594,0.5367959017977533,0.09850810904081266,0.22410308708308133
1,4,0.26709935097353965,0.5464562341049096,0.05075950917762613,0.21607877356401886
1,5,0.28057913130304546,0.585372426810339,0.040067219714216555,0.22650469445690025
2,2,0.2800798801797304,0.0,0.211799051097955,0.12296973281942135
2,3,0.2855716425361957,0.5039286010277759,0.1876242046881018,0.24428111206301836
2,4,0.30903644533200203,0.5073625407974846,0.10221932299034213,0.22965457727995717
2,5,0.26060908637044433,0.5146815380556382,0.09758183492129166,0.21821811483684356
3,3,0.26959560659011483,0.0,0.2041974672136102,0.11844826845093126
3,4,0.2690963554667998,0.49161986720292983,0.1675470019876881,0.23206580616435443
3,5,0.27608587119321015,0.5200999353512286,0.157591033301056,0.23844420996137367
4,4,0.29405891163255116,0.0,0.22119767264943266,0.12881414607049596
4,5,0.2820768846729905,0.5197906845604265,0.29164203714624226,0.27337740159491486
5,5,0.28756864702945584,0.0,0.361273555667583,0.1622105506742597
