epoch,chosen_cut1,chosen_cut2,estimated_j,estimated_dyn_cost
125,4,5,0.30563682955728266,0.18071130002724947
126,3,4,0.30587838764158415,0.16439043413158486
127,2,3,0.306652046833136,0.1882349262882577
128,2,3,0.3091191680960767,0.1894213794953612
129,0,2,0.3092721731311142,0.22373997823330066
130,3,4,0.3097125893597162,0.16590371016893535
131,2,3,0.31155659275416114,0.19042621108924493
132,3,4,0.3130307239136698,0.16704578454944982
133,2,3,0.31390910015763407,0.191520442315991
134,0,2,0.31391381879009317,0.22431509980436481
135,4,5,0.3156631452625972,0.18351046095502965
136,2,3,0.3161537662966697,0.19247524075227207
137,3,4,0.31600047432083433,0.1678064025508532
138,0,0,0.31832923878859803,0.28692735047136253
139,2,3,0.31832334023693293,0.19342629319626736
140,0,2,0.31813999587552844,0.2247142731341091
141,3,4,0.31900710892177275,0.16878586155724065
142,2,3,0.3202925211282821,0.19414009432109708
143,3,4,0.32229592719652633,0.1701467773286573
144,2,3,0.3224939421472077,0.1952230862531291
145,0,2,0.32245555176098173,0.22543465154815118
146,2,3,0.324617257849807,0.19620462997742696
147,3,4,0.32481315477793005,0.17077406467763123
148,4,5,0.3246636678837676,0.1858487500887115
149,2,3,0.3265490583338142,0.1970761589912739
150,0,2,0.3264658961986925,0.22605116332444264
151,3,4,0.32748818450799916,0.17159748430926292
152,2,3,0.3284374469039151,0.19785087308335184
153,3,4,0.3299651964859529,0.17234952581249544
154,2,3,0.3303617074539685,0.19877089660675207
155,0,2,0.3302760440992673,0.22665087061025946
156,3,4,0.33228749650568057,0.17300452433374205
157,2,3,0.3321356388848931,0.19949285053640486
158,4,5,0.33329282781082953,0.18842373570867182
159,2,3,0.3340800979948369,0.20051159383809342
160,0,2,0.3338903387013181,0.2272213009882358
161,0,0,0.3345377350412989,0.28625360657834253
162,3,4,0.33477170817756485,0.17378611214169376
163,2,3,0.33571582202617056,0.20112686676651909
164,3,4,0.337149004900998,0.1746078876321658
165,0,2,0.33742769898565805,0.22790338170187785
166,2,3,0.33737610005348806,0.20181819957410838
167,2,3,0.33914711797233815,0.202727557666775
168,3,4,0.33956362882699076,0.1754947390637389
169,0,2,0.3406773062476368,0.22839847050785814
170,2,3,0.34079729371315176,0.20345575067009225
171,4,5,0.3410998045551069,0.1906262210489527
172,3,4,0.341665263985099,0.176095161313054
173,2,3,0.34219653012416557,0.20400768178509857
174,2,3,0.34380997711255645,0.20481439032645612
175,0,2,0.34366951135868895,0.22873026993504736
176,3,4,0.34437648667948506,0.1773746777618687
177,2,3,0.34529442303451396,0.20543906783645652
178,3,4,0.3466205570051706,0.17824879969720156
179,2,3,0.3468133119167701,0.20616494932883164
180,0,2,0.3467791170289731,0.22933617028392775
181,0,0,0.3478429474976616,0.28507148102762603
182,4,5,0.3482484111439681,0.19258071685957684
183,2,3,0.348310223436086,0.20684323158318518
184,3,4,0.3487206785113877,0.1789549833470138
185,2,3,0.3494672748787981,0.2072401970001962
186,0,2,0.34959174791930425,0.22975033760154956
187,3,4,0.350645680746089,0.17958914992442176
188,2,3,0.35073816517078704,0.20772638640947672
189,2,3,0.35214837881232763,0.2084244445673917
190,0,2,0.3522879477522751,0.23015536374988674
191,3,4,0.3527278301347885,0.1804026855856914
192,2,3,0.35341648073554066,0.20894070521057617
193,3,4,0.3545252862376709,0.18098124394777695
194,2,3,0.3546374062953201,0.20946123463286317
195,0,2,0.35493304150624305,0.23060339902532087
196,4,5,0.3550709559462901,0.19455786436617242
197,3,4,0.3558244806377454,0.18106454001352018
198,2,3,0.3558375392438311,0.20994043935162623
199,2,3,0.35715176724124303,0.2105954285389694
200,3,4,0.35739315583410025,0.18146754833741396
